cartodb_id,the_geom,url,name,line,median_income
529,0101000020E6100000C7CC1213D47A52C0A98BC2712C5A4440,http://www.mta.info/nyct/service/,1623 De Kalb Avenue,L,42198.000000000000
530,0101000020E61000006D07E52CEC7E52C08AD9C6FD21624440,http://www.mta.info/nyct/service/,949 8 Avenue,1-2-A-C-B-D,82296.000000000000
531,0101000020E610000041539CB81C7E52C04C4ED68A10614440,http://www.mta.info/nyct/service/,884 3 Avenue (Enter On E 53 St),4-6-6 Express-E-M,108542.000000000000
532,0101000020E6100000B17D098F0A7652C06A2305D9525C4440,http://www.mta.info/nyct/service/,107-31 71 Avenue,E-F-M-R,57592.000000000000
533,0101000020E61000003574980D327352C058A9BCE0E6594440,http://www.mta.info/nyct/service/,Intersection Of Parsons Block And Archer Avenue,E-J-Z,
534,0101000020E6100000CF872DB5A57752C0091A8570DF5F4440,http://www.mta.info/nyct/service/,40-02 Junction Boulevard,7-7 Express,41615.000000000000
535,0101000020E6100000E41E8474B08452C09C06333A77524440,http://www.mta.info/nyct/service/,Staten Island Ferry Terminal,@,57500.000000000000
536,0101000020E6100000E97DE191787D52C07ACC8018FB494440,http://www.mta.info/nyct/service/,3069 Brighton 7 Street,B-Q,27930.000000000000
537,0101000020E6100000894B86A92D8152C0E02332DDFE514440,http://www.mta.info/nyct/service/,6003 4 Avenue,N-R,35363.000000000000
538,0101000020E610000067E48C14CA7A52C02FF34EAF6E594440,http://www.mta.info/nyct/service/,1340 Greene Avenue,M,35867.000000000000
539,0101000020E6100000781E4A37898052C0C492FDD7CC5A4440,http://www.mta.info/nyct/service/,1 Federal Reserve Plaza,2-3-4-5-A-C-J-Z,134435.000000000000
540,0101000020E6100000CD6871682E9052C0BEC4F5F38C414440,http://www.mta.info/nyct/service/,7 Bentley Street,@,81702.000000000000
541,0101000020E61000006B309418327F52C0E182AA86B5584440,http://www.mta.info/nyct/service/,368 Jay Street,A-C-F,103500.000000000000
542,0101000020E610000061BD55D11F7252C07652BFFE375B4440,http://www.mta.info/nyct/service/,179-30 Hillside Avenue,F,40942.000000000000
543,0101000020E6100000314630AA527A52C015E3268593594440,http://www.mta.info/nyct/service/,1605 Palmetto Street,L-M,39612.000000000000
544,0101000020E610000067A412D1817D52C06BCE7EFFFF4F4440,http://www.mta.info/nyct/service/,1506 Avenue J,B-Q,57692.000000000000
545,0101000020E6100000AF873C14058052C0EC446F52E45B4440,http://www.mta.info/nyct/service/,240 Canal Street,4-6-6 Express-J-Z-N-Q-R,164225.000000000000
546,0101000020E6100000D74AECFB707F52C072E0494922604440,http://www.mta.info/nyct/service/,242 West 34 Street,1-2-3,143750.000000000000
547,0101000020E610000029B1D64CBE7C52C08E86DAB28F524440,http://www.mta.info/nyct/service/,2914 Beverly Road (To Flatbush Only),2-5,37708.000000000000
548,0101000020E61000008E5F181DE77C52C034B0989647584440,http://www.mta.info/nyct/service/,586 Lafayette Avenue,G,54801.000000000000
549,0101000020E61000000000DC4E5B7952C0085AD6028E5F4440,http://www.mta.info/nyct/service/,38-23 69 Street,7,51813.000000000000
550,0101000020E6100000D6364A658A7E52C0FCCA976738604440,http://www.mta.info/nyct/service/,101 East 41 Street,4-5-6-6 Express-7-7 Express-S,99821.000000000000
551,0101000020E6100000BD32B830397E52C09C602686B2564440,http://www.mta.info/nyct/service/,657 Carlton Avenue,B-Q,79286.000000000000
552,0101000020E61000001B7EE0196D7E52C0356A79152C604440,http://www.mta.info/nyct/service/,137 East 42 Street,4-5-6-6 Express-7-7 Express-S,109306.000000000000
553,0101000020E610000027E09DBBE17E52C047246363B7614440,http://www.mta.info/nyct/service/,824 7 Avenue,B-D-E,87813.000000000000
554,0101000020E610000066E2D012967D52C0837AAA3CCC544440,http://www.mta.info/nyct/service/,462 Flatbush Avenue,B-Q-S,51419.000000000000
555,0101000020E61000007B7A5D035B7952C0B99AC59076684440,http://www.mta.info/nyct/service/,1030 Longwood Avenue (To Pelham Bay Pk Only),6,24583.000000000000
556,0101000020E610000080220BBB287D52C01B3B2A0ACE634440,http://www.mta.info/nyct/service/,125 East 86 Street (Downtown Only),4-5-6-6 Express,112237.000000000000
557,0101000020E6100000D741A9B9DC7752C0619FC8C17F574440,http://www.mta.info/nyct/service/,3327 Fulton Street,J-Z,31543.000000000000
558,0101000020E61000001D56A16AF47A52C06DC5ED7C196F4440,http://www.mta.info/nyct/service/,4941 Broadway,A,55337.000000000000
