X,Y,name,line,url
-73.976037465862078,40.626145152909046,101 Avenue I,F,http://www.mta.info/nyct/service/
-73.979240000187502,40.642715333649512,102 Beverly Road,F,http://www.mta.info/nyct/service/
-73.97614600085106,40.760422334098848,656 5 Avenue,E-M,http://www.mta.info/nyct/service/
-73.941358962879633,40.679777895661033,1490 Fulton Street (To Queens Only),A-C,http://www.mta.info/nyct/service/
-73.993137998893857,40.747036333741406,311 7 Avenue (Uptown Only),1-2,http://www.mta.info/nyct/service/
-74.23900680299468,40.517832693759779,Nassau Pl & Averill Pl At Sw Corner,@,http://www.mta.info/nyct/service/
-74.076719149430019,40.644724879567114,75 Richmond Terrace,@,http://www.mta.info/nyct/service/
-73.958009998496976,40.708589333437523,295 Broadway (To Manhattan Only),J-M-Z,http://www.mta.info/nyct/service/
-74.003747001791439,40.725583335106933,166 6 Avenue,A-C-E,http://www.mta.info/nyct/service/
-73.907480999657551,40.702836332058396,701 Seneca Avenue,M,http://www.mta.info/nyct/service/
-73.883828997624363,40.7478173341866,82-01 Roosevelt Avenue,7,http://www.mta.info/nyct/service/
-74.00887881856795,40.706799954226035,47 Pine Street,2-3,http://www.mta.info/nyct/service/
-73.896234000917758,40.816553332314228,1025 Longwood Avenue (To Manhattan Only),6,http://www.mta.info/nyct/service/
-73.951654403221696,40.690025026078828,573 Lafayette Avenue,G,http://www.mta.info/nyct/service/
-73.972918001229147,40.780895332392738,180 Central Park West,A-C-B,http://www.mta.info/nyct/service/
-73.927266000108744,40.865758333170518,4761 Broadway,A,http://www.mta.info/nyct/service/
-73.856016999732759,40.75169833203271,39-16 111 Street,7,http://www.mta.info/nyct/service/
-74.00161700000605,40.719471332515127,418 Broadway,4-6-6 Express-J-Z-N-Q-R,http://www.mta.info/nyct/service/
-73.962048958094258,40.660858701956336,462 Flatbush Avenue (Enter From Lincoln Rd),B-Q-S,http://www.mta.info/nyct/service/
-73.982815000762272,40.76645233247671,956 8 Avenue,1-2-A-C-B-D,http://www.mta.info/nyct/service/
-73.91127400072213,40.683181332983096,1720 Broadway,J-Z,http://www.mta.info/nyct/service/
-73.967095081862823,40.683388589799904,856 Fulton Street (To Queens Only),A-C,http://www.mta.info/nyct/service/
-73.93797900019608,40.749143332130899,42-01 28 Street,E-M-R,http://www.mta.info/nyct/service/
-73.910634000756446,40.678054334919743,2154 Fulton Street,A-C,http://www.mta.info/nyct/service/
-74.004099001804818,40.712699334587555,1 Centre Street,4-5-6-6 Express-J-Z,http://www.mta.info/nyct/service/
-73.950592000782521,40.72371533223874,626 Manhattan Avenue,G,http://www.mta.info/nyct/service/
-73.960149534223305,40.688763233306815,344 Classon Avenue,G,http://www.mta.info/nyct/service/
-73.942132000631005,40.754069332354327,40-33 21 Street,F,http://www.mta.info/nyct/service/
-73.981717001114916,40.768701332502047,1824 Broadway,1-2-A-C-B-D,http://www.mta.info/nyct/service/
-73.949080000500516,40.693979331971398,602 Marcy Avenue,G,http://www.mta.info/nyct/service/
